text,disease
"My main issues right now are severe upper abdominal pain radiating to back, nausea, rapid pulse and tenderness to touch.",Pancreatitis
"I have frequent nighttime urination, slow-healing cuts, tingling in hands and feet",Diabetes Type 2
"Experiencing weight loss, skin rash, iron deficiency",Celiac Disease
"I have sneezing and mild headache, what could this be?",Common Cold
"I cannot sleep because of nausea, mild fever and dehydration.",Gastroenteritis
"I'm experiencing shivering chills, profuse sweating and fatigue.",Malaria
"Lately I have been feeling abdominal cramping, bloating and mucus in stool.",Irritable Bowel Syndrome
"Clinical notes: Patient presenting with red swollen tonsils, white or yellow coating on tonsils, painful swallowing and enlarged tender neck nodes.",Tonsillitis
"Patient presenting with tiredness, loss of appetite, headache",Chickenpox
"Experiencing visual flashes, tingling in face or hands, throbbing head pain",Migraine with Aura
"Woke up today with fatigue, mouth sores and rectal bleeding.",Crohn's Disease
"I cannot sleep because of stinging eyes, stringy mucus in eyes and blurred vision after reading.",Dry Eye Syndrome
"Doctor, I've had persistent diarrhea, fatigue, mouth sores",Crohn's Disease
"Suffering from bullseye skin rash, body aches, stiff neck and swollen lymph nodes, need medical guidance.",Lyme Disease
"Experiencing sudden intense terror, trembling, feeling of choking",Panic Disorder
"Doctor, I've had persistent cough for more than 3 weeks, coughing blood, night sweats and fever for the past few days.",Tuberculosis
Feeling dizziness,Hypertension
Lately I have been feeling fluid draining from ear and feeling of fullness in ear.,Otitis Media
"I'm experiencing frequent urination, unintended weight loss, extreme hunger and blurred vision.",Diabetes Type 1
"I cannot sleep because of stomach pain, constipation or diarrhea and extreme fatigue.",Typhoid Fever
Feeling sudden severe headache,Stroke
"Experiencing flank pain on one side, nausea, vomiting",Pyelonephritis
I have racing heartbeat,Arrhythmia
"I've been dealing with restlessness, difficulty concentrating, irritability and sleep disturbance and it is getting worse.",Generalized Anxiety Disorder
"Patient reports red swollen tender skin area, skin warm to touch and fever with increasing discomfort.",Cellulitis
Feeling sudden intense terror,Panic Disorder
"I have fever, tiredness, headache",Chickenpox
"I feel terrible with rapid heart rate, unintended weight loss, trembling hands and sweating.",Hyperthyroidism
I'm experiencing profuse sweating and fatigue.,Malaria
I cannot sleep because of changes in appetite or weight and feelings of worthlessness.,Major Depressive Disorder
"Suffering from shortness of breath when lying flat, persistent fatigue, wheezing",Heart Failure
"Been having dull aching head pain, tightness across forehead, scalp tenderness",Tension Headache
Experiencing clear skin in center of ring,Fungal Skin Infection
"Doctor, I've had restlessness, difficulty concentrating and sleep disturbance for the past few days.",Generalized Anxiety Disorder
"Been having persistent cough for more than 3 weeks, night sweats, chest pain",Tuberculosis
Experiencing bloating,Gastritis
"I have cyclical high fever, shivering chills, fatigue",Malaria
Experiencing pale stools,Hepatitis A
Feeling eye irritation,Rosacea
Experiencing racing heartbeat,Arrhythmia
"Been having unexplained weight gain, dry skin, muscle weakness",Hypothyroidism
"I feel terrible with loud snoring, morning headache, excessive daytime sleepiness and dry mouth on waking.",Sleep Apnea
"My main issues right now are sharp ear pain, muffled hearing, feeling of fullness in ear and irritability.",Otitis Media
Experiencing nausea,Migraine
"Lately I have been feeling chills, headache and sore throat.",Influenza
I'm experiencing mild upper right abdominal discomfort and jaundice.,Hepatitis C
Experiencing cold sweat,Heart Attack
"Doctor, I've had bullseye skin rash, fatigue and swollen lymph nodes for the past few days.",Lyme Disease
Experiencing chest burning,GERD
"Over the last 48 hours, I noticed bleeding gums, corkscrew body hair, bruising easily and joint and muscle aches.",Scurvy
Feeling pain radiating to jaw or left arm,Coronary Artery Disease
"I feel terrible with extreme thirst, frequent urination, unintended weight loss and fatigue.",Diabetes Type 1
"Been having swelling in one calf or leg, throbbing calf pain, redness of skin on leg",Deep Vein Thrombosis
"Lately I have been feeling swelling in ankles and feet, foamy urine, nausea and loss of appetite.",Chronic Kidney Disease
"Doctor, I've had bloating, alternating diarrhea and constipation, mucus in stool",Irritable Bowel Syndrome
"Doctor, I've had persistent cough and fatigue for the past few days.",Bronchitis
"Doctor, I've had nausea, light sensitivity, sound sensitivity",Migraine
"Experiencing extreme fatigue, fever, severe sore throat",Mononucleosis
"Woke up today with pale skin, cold hands and feet, brittle nails and shortness of breath with mild exertion.",Iron Deficiency Anemia
"Over the last 48 hours, I noticed frequent urination, fatigue and blurred vision.",Diabetes Type 1
"It started yesterday with gritty feeling in eye, itchy eyes and watery discharge.",Conjunctivitis
"I've been dealing with prolonged step-ladder fever, headache, stomach pain and constipation or diarrhea and it is getting worse.",Typhoid Fever
"I'm experiencing facial pain, nasal congestion and headache.",Sinusitis
Feeling severe acne,Polycystic Ovary Syndrome
"Lately I have been feeling shortness of breath with exertion, excess sputum, wheezing and fatigue.",COPD
"Woke up today with lower abdominal pressure, cloudy foul-smelling urine and blood in urine.",Acute Cystitis
"It started yesterday with tender warm swollen joints, morning joint stiffness lasting >1 hour and fever.",Rheumatoid Arthritis
"Experiencing acute tender warm swollen joints, symmetrical joint pain in both hands and fatigue.",Rheumatoid Arthritis
"Feeling shakiness, confusion, hunger",Hypoglycemia
"It started yesterday with cold sweat, shortness of breath and dizziness.",Heart Attack
"I have large waist circumference, high blood pressure, high fasting blood glucose",Metabolic Syndrome
Feeling chronic lower back pain and stiffness,Ankylosing Spondylitis
"Suffering from round moon face, weight gain around abdomen, easy bruising and muscle weakness, need medical guidance.",Cushing's Syndrome
"Experiencing acute burning stomach pain between meals, feeling full too quickly and bloating.",Peptic Ulcer
"Experiencing hoarseness, loss of voice, dry throat",Laryngitis
"Noticed severe high fever, fatigue, dry cough",Influenza
I have hair loss,Vitamin D Deficiency
I have nasal congestion on one side,Cluster Headache
I have large waist circumference,Metabolic Syndrome
Clinical notes: Patient presenting with glare and halos around headlights and poor night vision.,Cataract
I have blackheads and whiteheads,Acne Vulgaris
Clinical notes: Patient presenting with tingling in hands and feet and darkened skin patches.,Diabetes Type 2
"Experiencing acute intense fear of social interactions, fear of being judged or embarrassed and avoidance of social situations.",Social Anxiety Disorder
I cannot sleep because of cramping leg pain when walking (claudication) and coldness in lower leg or foot.,Peripheral Artery Disease
I have fainting episodes,Arrhythmia
"It started yesterday with chest tightness, persistent cough and difficulty breathing.",Asthma
"I feel terrible with shivering chills, body ache and fatigue.",Malaria
Experiencing mouth sores,Crohn's Disease
Feeling purple stretch marks,Cushing's Syndrome
"I'm experiencing severe upper abdominal pain radiating to back, vomiting, rapid pulse and tenderness to touch.",Pancreatitis
Feeling tingling sensations,Peripheral Neuropathy
"Experiencing cough with phlegm, chest pain, chills",Pneumonia
Experiencing chest discomfort,Bronchitis
"Experiencing acute prolonged step-ladder fever, headache, constipation or diarrhea and rose-colored rash.",Typhoid Fever
"I'm experiencing burning stomach pain between meals, bloating and dark stools.",Peptic Ulcer
"Doctor, I've had sharp stabbing facial pain and electric shock sensation in cheek for the past few days.",Trigeminal Neuralgia
"I have abdominal cramping, bloating, gas and food intolerance, what could this be?",Irritable Bowel Syndrome
"Patient reports fever, shortness of breath, sore throat and body aches with increasing discomfort.",COVID-19
"Been having unexplained weight gain, cold intolerance, dry skin",Hypothyroidism
I have swelling in ankles and feet,Chronic Kidney Disease
It started yesterday with chest burning and difficulty swallowing.,GERD
"Clinical notes: Patient presenting with cyclical high fever, headache, nausea and fatigue.",Malaria
"Suffering from intense skin itching and red to brownish-gray patches, need medical guidance.",Eczema
"Clinical notes: Patient presenting with fever, loss of appetite and red spots on skin.",Chickenpox
"It started yesterday with tremor, vision loss in one eye, fatigue and unsteady gait.",Multiple Sclerosis
I have sores rupture and form honey-colored crusts,Impetigo
"Patient presenting with excruciating pain around one eye, tearing, nasal congestion on one side",Cluster Headache
"Doctor, I've had sharp ear pain, muffled hearing, fever and irritability for the past few days.",Otitis Media
"Over the last 48 hours, I noticed abrupt high fever and joint swelling.",Chikungunya
"Doctor, I've had soft voice and shuffling gait for the past few days.",Parkinson's Disease
Clinical notes: Patient presenting with extreme thirst and infrequent urination.,Dehydration
"Lately I have been feeling chronic diarrhea, weight loss and fatigue.",Celiac Disease
Experiencing difficulty swallowing,GERD
Patient reports fever and dry cough with increasing discomfort.,COVID-19
Feeling chronic fatigue,Fibromyalgia
"Suffering from throbbing headache, sound sensitivity and visual aura, need medical guidance.",Migraine
"Lately I have been feeling crushing chest pain, shortness of breath, severe nausea and dizziness.",Heart Attack
"I cannot sleep because of red swollen tender skin area, skin warm to touch, rapidly expanding redness and blisters over red area.",Cellulitis
I have loss of appetite,Chronic Kidney Disease
"Suffering from fatigue, unexplained weight gain, dry skin",Hypothyroidism
Lately I have been feeling headache and extreme fatigue.,Typhoid Fever
"Suffering from red swollen tonsils, white or yellow coating on tonsils, fever",Tonsillitis
"Doctor, I've had tingling in hands and feet and unsteady balance for the past few days.",Vitamin B12 Deficiency
I have bloating,Constipation
"Doctor, I've had pale stools and yellowing of skin and eyes for the past few days.",Hepatitis A
"Suffering from stomach cramps, vomiting and dehydration, need medical guidance.",Gastroenteritis
"Woke up today with muscle cramps and spasms, irregular heartbeat, confusion and extreme fatigue.",Electrolyte Imbalance
